brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
jonnesway,212,11,4,0.05188679245283019,0.36363636363636365,0.018867924528301886
rexel,53,2,1,0.03773584905660377,0.5,0.018867924528301886
aura,531,19,10,0.035781544256120526,0.5263157894736842,0.018832391713747645
easyprint,587,20,11,0.034071550255536626,0.55,0.018739352640545145
inoi,427,7,8,0.01639344262295082,1.1428571428571428,0.01873536299765808
eurolux,107,4,2,0.037383177570093455,0.5,0.018691588785046728
scher-khan,1034,24,19,0.02321083172147002,0.7916666666666666,0.0183752417794971
proconnect,55,1,1,0.01818181818181818,1.0,0.01818181818181818
singer,332,10,6,0.030120481927710843,0.6,0.018072289156626505
lg,6412,195,114,0.030411728009981286,0.5846153846153846,0.017779164067373673
orient,1981,42,35,0.02120141342756184,0.8333333333333334,0.0176678445229682
supermicro,803,25,14,0.031133250311332503,0.56,0.017434620174346202
sony,6460,201,112,0.031114551083591332,0.5572139303482587,0.0173374613003096
espada,983,37,17,0.03763987792472025,0.4594594594594595,0.017293997965412006
huter,1793,60,31,0.03346346904629113,0.5166666666666667,0.01728945900725042
c-media,117,2,2,0.017094017094017096,1.0,0.017094017094017096
b.well,942,29,16,0.03078556263269639,0.5517241379310345,0.016985138004246284
telefunken,298,10,5,0.03355704697986577,0.5,0.016778523489932886
telecom,657,23,11,0.0350076103500761,0.4782608695652174,0.0167427701674277
cablexpert,538,15,9,0.027881040892193308,0.6,0.016728624535315983
a-data,60,1,1,0.016666666666666666,1.0,0.016666666666666666
dahua,60,1,1,0.016666666666666666,1.0,0.016666666666666666
fellowes,242,8,4,0.03305785123966942,0.5,0.01652892561983471
kraft,182,3,3,0.016483516483516484,1.0,0.016483516483516484
eva,790,15,13,0.0189873417721519,0.8666666666666667,0.016455696202531647
sky,365,12,6,0.03287671232876712,0.5,0.01643835616438356
goot,61,2,1,0.03278688524590164,0.5,0.01639344262295082
playme,490,13,8,0.026530612244897958,0.6153846153846154,0.0163265306122449
kobra,62,2,1,0.03225806451612903,0.5,0.016129032258064516
neoline,749,17,12,0.022696929238985315,0.7058823529411765,0.01602136181575434
aopen,127,4,2,0.031496062992125984,0.5,0.015748031496062992
necchi,191,9,3,0.04712041884816754,0.3333333333333333,0.015706806282722512
sunshine,65,1,1,0.015384615384615385,1.0,0.015384615384615385
w.e.p.,132,4,2,0.030303030303030304,0.5,0.015151515151515152
tdm,66,2,1,0.030303030303030304,0.5,0.015151515151515152
philips,5114,163,77,0.03187328901055925,0.4723926380368098,0.015056707078607743
gembird,872,25,13,0.028669724770642203,0.52,0.014908256880733946
kaisi,739,13,11,0.017591339648173207,0.8461538461538461,0.014884979702300407
